Player,Status,Pos,fg_pct,avg_dist,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,AST,STL,BLK,TOV,PF,PTS,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%
A.J. Price,Inactive,PG,0.38,18.3,7.2,18.8,2.8,9,4.3,9.8,2.7,3.6,0.742,7.4,1.6,0.1,3,3.1,19.8,0.486,0.193,1.9,8.7,5.3,23.6,1.6,0.2,12.8
Aaron Brooks,Active,PG,0.413,15.2,8.6,20.9,3.1,8.5,5.5,12.4,3.5,4.2,0.839,7.4,1.4,0.3,3.8,4.6,23.9,0.525,0.2,2.1,6.9,4.5,23.7,1.4,0.5,14.4
Aaron Gordon,Active,PF,0.46,11.4,7.7,16.7,1.3,4.6,6.3,12,3.3,4.7,0.699,3.1,1.5,1.2,1.9,4.1,20,0.533,0.285,6.9,17.4,12,9.7,1.5,1.9,9.4
Aaron Gray,Inactive,C,0.509,3.9,6,11.8,0,0,6,11.7,2.5,4.5,0.562,2.8,1.3,1.2,3.6,9.2,14.5,0.528,0.383,12.9,23.1,18,8.4,1.3,1.8,20.8
Adreian Payne,Active,PF,0.399,11.5,6.2,15.6,0.5,2.1,5.7,13.5,2.3,3.4,0.67,2.5,1.6,1,3.3,7.3,15.2,0.444,0.217,6.4,19.6,13,7.5,1.6,1.6,16.1
Al Harrington,Inactive,PF,0.445,12.2,9.3,20.8,1.8,5.1,7.5,15.7,4.1,5.6,0.727,3,1.6,0.5,3.4,5.7,24.4,0.523,0.268,6.1,16.4,11.2,10.1,1.6,0.7,12.7
Al Horford,Active,C,0.528,10.1,9.4,17.9,0.5,1.4,9,16.5,2.9,3.9,0.748,4.6,1.3,1.9,2.5,3.7,22.3,0.568,0.216,8,22,15,15.1,1.3,2.8,11.2
Al Jefferson,Active,C,0.499,7.8,12.2,24.4,0,0.1,12.1,24.3,4,5.6,0.709,2.6,1.2,2.1,2.4,4.6,28.3,0.527,0.23,9,25.1,16.9,9.7,1.2,3.3,8.2
Al-Farouq Aminu,Active,SF,0.426,11.5,5.8,13.5,1.3,3.9,4.5,9.7,2.7,3.8,0.725,2.6,2,1.3,2.8,4,15.5,0.511,0.279,6.6,20.4,13.5,7.7,2,2,15.3
Alan Anderson,Active,SF,0.405,16.2,6.5,16,2.5,7.4,3.9,8.6,3.1,3.8,0.816,2.8,1.4,0.2,2.2,4.6,18.6,0.526,0.238,2.6,9.7,6.1,8.8,1.4,0.4,11.2
Alan Williams,Active,C,0.509,4.5,9.1,18,0,0.1,9.1,17.9,4.9,7.8,0.627,1.7,1.9,2.3,2.7,8.6,23.2,0.541,0.433,14.7,31.9,23.1,5.7,1.9,3.9,11
Alec Burks,Active,SG,0.428,12,8.4,19.6,1.4,4,6.9,15.6,5.9,7.9,0.752,4.2,1.5,0.4,3.3,4.6,24.1,0.524,0.404,3.5,11.8,7.7,13.6,1.5,0.6,12.5
Alex Abrines,Active,SG,0.393,20.6,6.2,15.9,4.4,11.5,1.9,4.4,2,2.3,0.898,1.9,1.7,0.4,1.5,5.3,18.9,0.56,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3
